epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,505.763,1.2011,4.54714,0.02543,0.6566,0.51663,0.56652,0.35693,1.39594,1.50695,0.02884,0.00999399,0.00333133,0.00999399,0.00333133,0.00999399,0.00333133,0.00999399,0.00333133
2,929.697,1.21874,2.01673,0.02571,0.77171,0.59679,0.69442,0.46718,1.35375,1.24647,0.02921,0.0199939,0.00666465,0.0199939,0.00666465,0.0199939,0.00666465,0.0199939,0.00666465
3,1282.64,1.28493,1.95792,0.02726,0.60856,0.55266,0.57678,0.37099,1.46582,1.59673,0.03213,0.0299937,0.0099979,0.0299937,0.0099979,0.0299937,0.0099979,0.0299937,0.0099979
4,1629.73,1.318,1.96889,0.02781,0.72956,0.6012,0.66526,0.44931,1.458,1.29498,0.03234,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978,0.0299993,0.00999978
5,1979.13,1.25986,1.81323,0.02615,0.76414,0.67401,0.73213,0.52401,1.30466,1.12864,0.02821,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961,0.0299988,0.00999961
6,2327.8,1.22976,1.69612,0.02549,0.75303,0.67074,0.74167,0.53819,1.24862,1.06943,0.0269,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939,0.0299982,0.00999939
7,2675.74,1.20884,1.62705,0.02482,0.75924,0.75429,0.79113,0.58335,1.2209,1.02831,0.02568,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
8,3028.02,1.192,1.57244,0.02436,0.77993,0.74947,0.80361,0.59219,1.19447,0.91533,0.02497,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988,0.0299964,0.0099988
9,3378.69,1.16824,1.51884,0.02387,0.79276,0.76371,0.80644,0.60462,1.15037,0.93141,0.02431,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
10,3729.91,1.15664,1.48491,0.02352,0.81738,0.76241,0.81147,0.62722,1.12857,0.89405,0.02354,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802,0.0299941,0.00999802
