epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,378.796,1.29549,5.07791,0.02748,0.57411,0.47315,0.49966,0.28144,1.57543,1.76723,0.03381,0.00999194,0.00333065,0.00999194,0.00333065,0.00999194,0.00333065,0.00999194,0.00333065
2,690.505,1.32797,2.48869,0.02806,0.64773,0.56085,0.61809,0.35587,1.61201,1.41519,0.03473,0.0199917,0.00666391,0.0199917,0.00666391,0.0199917,0.00666391,0.0199917,0.00666391
3,953.839,1.40819,2.36642,0.02997,0.59907,0.40717,0.42197,0.2524,1.64692,1.98574,0.03709,0.0299908,0.00999692,0.0299908,0.00999692,0.0299908,0.00999692,0.0299908,0.00999692
4,1214.44,1.45756,2.39737,0.03087,0.64956,0.58252,0.62428,0.38473,1.60994,1.42638,0.03564,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912,0.0299974,0.00999912
5,1476.43,1.40785,2.24905,0.02958,0.56016,0.55296,0.57307,0.36502,1.51107,1.64006,0.03311,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844,0.0299953,0.00999844
6,1741.49,1.3813,2.11935,0.02869,0.68685,0.5976,0.6608,0.44678,1.38678,1.2939,0.03074,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
7,2004.8,1.35962,2.06636,0.02824,0.77122,0.65117,0.71248,0.48227,1.33884,1.13082,0.02892,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648,0.0299894,0.00999648
8,2264.2,1.3375,2.00497,0.02773,0.76011,0.65315,0.721,0.49667,1.3452,1.11661,0.02909,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521,0.0299856,0.00999521
9,2524.45,1.32599,1.96495,0.02751,0.70876,0.68803,0.72333,0.50363,1.31402,1.09407,0.02796,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375,0.0299812,0.00999375
10,2783.47,1.31565,1.93435,0.02705,0.76886,0.69603,0.75844,0.5427,1.28428,1.05694,0.02745,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209,0.0299763,0.00999209
11,3042.91,1.30683,1.90103,0.02673,0.80799,0.68745,0.76421,0.55547,1.23764,0.99758,0.02639,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
12,3303.51,1.30286,1.88079,0.02662,0.79068,0.68445,0.76178,0.5648,1.18332,0.99722,0.02477,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818,0.0299645,0.00998818
13,3567.24,1.2978,1.86992,0.02647,0.82777,0.67005,0.7706,0.56788,1.20157,0.99608,0.02523,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594,0.0299578,0.00998594
14,3831.28,1.29778,1.85763,0.02643,0.78202,0.72135,0.78544,0.59491,1.14761,0.94034,0.02398,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835,0.0299505,0.0099835
15,4090.95,1.29089,1.84818,0.02637,0.80721,0.72725,0.79195,0.58611,1.1956,0.93803,0.02506,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086,0.0299426,0.00998086
16,4352.74,1.29433,1.84479,0.02634,0.78467,0.73328,0.77457,0.573,1.16741,0.9666,0.0247,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
