epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,414.547,1.29549,5.07791,0.02748,0.57411,0.47315,0.49966,0.28144,1.57543,1.76723,0.03381,0.00999194,0.00333065,0.00999194,0.00333065,0.00999194,0.00333065,0.00999194,0.00333065
2,743.247,1.33177,2.47866,0.02809,0.58078,0.59147,0.61533,0.37513,1.49972,1.38741,0.0328,0.0199914,0.0066638,0.0199914,0.0066638,0.0199914,0.0066638,0.0199914,0.0066638
3,1027.47,1.41621,2.33832,0.03003,0.55476,0.42698,0.48007,0.30131,1.65122,1.89306,0.03797,0.0299887,0.00999623,0.0299887,0.00999623,0.0299887,0.00999623,0.0299887,0.00999623
4,1305.36,1.46406,2.38356,0.031,0.66644,0.60066,0.62391,0.40655,1.45333,1.4485,0.03171,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756,0.0299927,0.00999756
5,1585.35,1.41045,2.23108,0.02963,0.65855,0.6315,0.6429,0.42032,1.46215,1.35471,0.03208,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566,0.029987,0.00999566
6,1862.49,1.38058,2.13252,0.02873,0.66318,0.59052,0.63424,0.42105,1.43602,1.4149,0.0315,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322,0.0299796,0.00999322
7,2141.58,1.36257,2.05582,0.02825,0.73683,0.66863,0.72568,0.50596,1.31041,1.10689,0.02837,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
8,2418.07,1.34372,2.0009,0.02786,0.70654,0.66578,0.70437,0.49084,1.31582,1.18717,0.02862,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671,0.0299601,0.00998671
9,2693.6,1.3285,1.97133,0.02749,0.75854,0.68506,0.75272,0.53702,1.29613,1.01187,0.0273,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264,0.0299479,0.00998264
10,2969.91,1.32588,1.92633,0.02719,0.76193,0.71995,0.76573,0.54101,1.26785,1.01603,0.02733,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
